Data Source,World Development Indicators,,,,,,,,
,,,,,,,,,
Last Updated Date,7/1/20,,,,,,,,
,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2015,2016,2017,2018,2019,2015-2018 avg
Aruba,ABW,Individuals using the Internet (% of population),IT.NET.USER.ZS,88.66122693,93.54245387,97.17,,,93.12456027
Afghanistan,AFG,Individuals using the Internet (% of population),IT.NET.USER.ZS,8.26,11.2,13.5,,,10.98666667
Angola,AGO,Individuals using the Internet (% of population),IT.NET.USER.ZS,12.4,13,14.33907936,,,13.24635979
Albania,ALB,Individuals using the Internet (% of population),IT.NET.USER.ZS,63.2529327,66.3634447,71.8470405,,,67.15447263
Andorra,AND,Individuals using the Internet (% of population),IT.NET.USER.ZS,96.91,97.93063712,91.56746703,,,95.46936805
Arab World,ARB,Individuals using the Internet (% of population),IT.NET.USER.ZS,43.69633487,41.48747671,49.26012797,63.16672895,,49.40266712
United Arab Emirates,ARE,Individuals using the Internet (% of population),IT.NET.USER.ZS,90.5,90.60000732,94.81992254,98.45000178,,93.59248291
Argentina,ARG,Individuals using the Internet (% of population),IT.NET.USER.ZS,68.04306411,70.96898082,74.29490687,,,71.10231727
Armenia,ARM,Individuals using the Internet (% of population),IT.NET.USER.ZS,59.10237771,64.34602977,64.74488433,,,62.73109727
American Samoa,ASM,Individuals using the Internet (% of population),IT.NET.USER.ZS,,,,,,#DIV/0!
Antigua and Barbuda,ATG,Individuals using the Internet (% of population),IT.NET.USER.ZS,70,73,76,,,73
Australia,AUS,Individuals using the Internet (% of population),IT.NET.USER.ZS,84.56051935,86.54,86.54504885,,,85.88185607
Austria,AUT,Individuals using the Internet (% of population),IT.NET.USER.ZS,83.94014193,84.32374257,87.93558659,87.47913723,,85.91965208
Azerbaijan,AZE,Individuals using the Internet (% of population),IT.NET.USER.ZS,77,78.2,79,79.79999549,,78.49999887
Burundi,BDI,Individuals using the Internet (% of population),IT.NET.USER.ZS,4.866224464,5.173626777,2.660748535,,,4.233533258
Belgium,BEL,Individuals using the Internet (% of population),IT.NET.USER.ZS,85.0529,86.51647666,87.67968082,88.65506428,,86.97603044
